id,url,domain_expansion,visit_count,daily_visit_counts,weekly_visit_counts,autocomplete_triggers,should_recompute_derived_visit_counts,visit_count_score,status_code
15182,https://www.google.es/search?q=cine+yelmo+reclamaciones&ie=UTF-8&oe=UTF-8&hl=es-es&client=safari,,2,b'd\x00\x00\x00',,,0,100,200
15183,https://www.ocu.org/reclamar/empresas/yelmo-cines/400000064,,1,b'd\x00\x00\x00',,,0,100,200
15184,https://www.google.es/search?client=safari&hl=es-es&sxsrf=AJOqlzWGKILMie9oHSahgPbCoEDCX6KUkg:1674058548611&q=Devoluci%C3%B3n+entradas+yelmo+cines&sa=X&ved=2ahUKEwiB2P2IwtH8AhWhTOUKHXImDFAQ1QJ6BAhHEAE&biw=414&bih=796&dpr=2,,2,b'd\x00\x00\x00',,,0,100,200
15185,https://www.ocu.org/reclamar/lista-reclamaciones-publicas/reclamacion-publica?referenceid=CPTES01147889-88,,1,b'd\x00\x00\x00',,,0,100,200
15186,https://www.consumidorglobal.com/noticias/noticias-servicios/comprar-entradas-yelmo-cines-nunca-lleguen-recuperar-dinero-desesperante_4453_102_amp.html,consumidorglobal,2,b'd\x00\x00\x00',,,0,100,200
15187,https://yelmocines.es/queremos-escucharte,,3,b'}\x00\x00\x00',,,0,125,200
15188,https://programamia.lt.acemlna.com/Prod/link-tracker?redirectUrl=aHR0cHMlM0ElMkYlMkZwcm9ncmFtYW1pYS5jb20lMkY=&sig=4UW6N83BcCdCfQGYR7DDjvh79U59jGMNTnLZsmRSKnjt&iat=1673810107&a=%7C%7C90355734%7C%7C&account=programamia%2Eactivehosted%2Ecom&email=1itKTRWJm2GH8%2FxPl066iKyPUFd7JHyq9acdSgULWaM%3D&s=0a09222bd8552ee8d3199736ecd8c51f&i=1980A2883A9A12399,programamia.lt.acemlna,1,b'd\x00\x00\x00',,,0,100,200
15189,https://programamia.com/?vgo_ee=1itKTRWJm2GH8%2FxPl066iKyPUFd7JHyq9acdSgULWaM%3D,programamia,1,b'd\x00\x00\x00',,,0,100,200
15190,https://programamia.com/,programamia,1,b'\x00\x00\x00\x00',,,0,0,200
15191,https://forms.gle/FW2XUaATwGMi74N38,,1,b'd\x00\x00\x00',,,0,100,200
15192,https://docs.google.com/forms/d/e/1FAIpQLSclKTGh8_Yv6_BCoQLR7kkXtc-oZ5tWWyqkBBvxLMV_vYfp0w/viewform?usp=send_form,docs.google,2,b'd\x00\x00\x00',,,0,100,200
15193,https://docs.google.com/forms/d/e/1FAIpQLSclKTGh8_Yv6_BCoQLR7kkXtc-oZ5tWWyqkBBvxLMV_vYfp0w/viewform,docs.google,1,b'\x00\x00\x00\x00',,,0,0,200
15194,https://docs.google.com/forms/d/e/1FAIpQLSclKTGh8_Yv6_BCoQLR7kkXtc-oZ5tWWyqkBBvxLMV_vYfp0w/viewform?fbzx=1931793923662034500,docs.google,1,b'\x00\x00\x00\x00',,,0,0,200
15195,https://docs.google.com/forms/u/0/d/e/1FAIpQLSclKTGh8_Yv6_BCoQLR7kkXtc-oZ5tWWyqkBBvxLMV_vYfp0w/formResponse,docs.google,5,b'}\x00\x00\x00',,,0,125,200
15196,https://docs.google.com/forms/d/e/1FAIpQLSclKTGh8_Yv6_BCoQLR7kkXtc-oZ5tWWyqkBBvxLMV_vYfp0w/formResponse,docs.google,1,b'\x00\x00\x00\x00',,,0,0,200
15197,https://www.google.es/search?q=la+isla+de+las+tentaciones+6&ie=UTF-8&oe=UTF-8&hl=es-es&client=safari,,12,b'd\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00d\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',"b'd\x00\x00\x00,\x01\x00\x00'",,0,600,200
15198,https://www.telecinco.es/la-isla-de-las-tentaciones/a-la-carta/20230118/ver-rumbo-isla-tentaciones-completo_18_08489734.html?amp=true,,5,b'd\x00\x00\x00\x00\x00\x00\x00d\x00\x00\x00',,,0,200,200
15199,https://adclick.g.doubleclick.net/pcs/click?xai=AKAOjssxBGZ8uxU13C_d9e4UAvKzFRoHTG4AguronDSoziMuDbFVMr_3makf4FTR-hOOITqxz-MBvguuo9QleL6Yi_DHETXBREJb5GXbiOyexcHU_2mgHflDQDD2cAlF1H57POq0P8LulpkReGNNIGs0-GGe7Sofhw&sai=AMfl-YQvYLPCLwT-4Sx7NSpQFqBcBIl06dZd2yFsVigMIDctEH6Rj6s4p9NLjyop2I6DOt25GVwClZcjCkuUTEaLjg&sig=Cg0ArKJSzARaA0Ra1ZZ_EAE&cry=1&fbs_aeid=[gw_fbsaeid]&urlfix=1&adurl=https://www.kelloggs.es/es_ES/brands/special-k-consumer-brand.html,,1,b'd\x00\x00\x00',,,0,100,200
15200,https://www.kelloggs.es/es_ES/brands/special-k-consumer-brand.html,,3,b'd\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00d\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',b'd\x00\x00\x00',,0,300,200
15201,https://espanadiario.tips/consejos/nueva-jornada-laboral-sin-reduccion-sueldo,,1,b'd\x00\x00\x00',,,0,100,200
15202,https://www.google.com/url?q=https://epl.paypal-communication.com/T/v600000185cef3a3f4a28f0a6e965fc958/898912cfca424fa40000021ef3a0bcc4/898912cf-ca42-4fa4-8d36-5ee8412545d1?__dU__%3Dv0G4RBKTXg2GtDSXU69hUjn5RqR7EEyYkx&source=gmail&ust=1674305522326000&usg=AOvVaw37XIm2z13QXwx7TkJTVfKq&rct=i,google,1,b'd\x00\x00\x00',,,0,100,200
15203,https://www.paypal.com/es/signin?utm_source=epsilon&utm_campaign=T_OW_EM_TR_HR_NI_NI_202011_77331_Spain_ES_High_Risk_ES_ES_es_ES&utm_medium=email,paypal,1,b'd\x00\x00\x00',,,0,100,200
15204,https://www.paypal.com/signin?utm_source=epsilon&utm_campaign=T_OW_EM_TR_HR_NI_NI_202011_77331_Spain_ES_High_Risk_ES_ES_es_ES&utm_medium=email,paypal,1,b'd\x00\x00\x00',,,0,100,200
15205,https://www.paypal.com/authflow/entry/?returnUri=%2Fsignin%2Freturn%3FflowFrom%3Danw-stepup%26ctxId%3Dstep_up94e105cbbc664559a85b4583bbf2970d&country.x=ES&locale.x=es_ES&acnw_dep=ul&stepupContext=63e126c5bc67482a77f7b9c9264044f8&ctxId=step_up94e105cbbc664559a85b4583bbf2970d,paypal,1,b'd\x00\x00\x00',,,0,100,200
15206,https://www.paypal.com/authflow/challenges/pn/?acnw_dep=ul&country.x=ES&ctxId=step_up94e105cbbc664559a85b4583bbf2970d&locale.x=es_ES&returnUri=%2Fsignin%2Freturn%3FflowFrom%3Danw-stepup%26ctxId%3Dstep_up94e105cbbc664559a85b4583bbf2970d&stepupContext=63e126c5bc67482a77f7b9c9264044f8,paypal,1,b'\x00\x00\x00\x00',,,0,0,200
15207,https://www.paypal.com/authflow/done/?returnUri=%2Fsignin%2Freturn%3FflowFrom%3Danw-stepup%26ctxId%3Dstep_up94e105cbbc664559a85b4583bbf2970d,paypal,1,b'\x00\x00\x00\x00',,,0,0,200
15208,https://www.google.es/search?q=javo+dog+sbadell&ie=UTF-8&oe=UTF-8&hl=es-es&client=safari,,2,b'd\x00\x00\x00',,,0,100,200
15209,https://www.google.es/search?q=triaction+by+triumph&ie=UTF-8&oe=UTF-8&hl=es-es&client=safari,,2,b'd\x00\x00\x00',,,0,100,200
15210,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjVguCCq9n8AhUUrXcKHSkSB64YABAOGgJlZg&ae=2&ohost=www.google.es&cid=CAESaOD2SijLwGPACrMJq4A2_9Y5IZEwQJc1KYKZMsWb7cbvGHh8mPaogvtFGTFi0VEmUYFRshK6dsDUQUh6Dz19t88ypfXt34ERkPlBSEjeUrmFIF4oH1g6lYEDaG7Rotu-AMrhIXG5XkWr&sig=AOD64_02iQKRIQoP4NxqeN0ijx2Xq3Y-5A&ctype=5&q=&ved=2ahUKEwjxrNiCq9n8AhVJ2qQKHQN-C4QQwg8oAHoECAcQCw&nis=2&dct=1&adurl=,googleadservices,1,b'd\x00\x00\x00',,,0,100,200
15211,https://es.triumph.com/sujetador-deportivo-sin-aros/triaction-wellness/10184765.html?color=0004_Black&gclid=Cj0KCQiAt66eBhCnARIsAKf3ZNFSMQLRYU8gN3JRqwjYQaDnwlCUpRq4G1qxI0z2XSaHrYdbp4Zkq-kaAoltEALw_wcB,es.triumph,1,b'd\x00\x00\x00',,,0,100,200
15212,https://www.google.es/search?q=viladecans+outlet&client=safari&hl=es-es&sxsrf=AJOqlzUowFJnFmnK-i16oXfKVn5g8ZLIgA%3A1674335281501&ei=MVTMY_yQHpedkdUP-K2q4Aw&oq=viladecans&gs_lcp=ChNtb2JpbGUtZ3dzLXdpei1zZXJwEAEYADINCAAQgAQQsQMQgwEQCjINCC4QgwEQsQMQgAQQCjINCC4QgAQQxwEQrwEQCjIHCAAQgAQQCjIHCAAQgAQQCjINCC4QgAQQxwEQrwEQCjINCC4QgAQQxwEQrwEQCjINCC4QgAQQxwEQrwEQCjoKCAAQRxDWBBCwAzoHCAAQsAMQQzoNCC4QxwEQ0QMQsAMQQzoHCCMQ6gIQJzoECCMQJzoFCAAQgAQ6EAguELEDEIMBEMcBENEDEEM6CwguEIAEEMcBENEDOhEILhCABBCxAxCDARDHARDRAzoICAAQgAQQsQM6CAguELEDEIMBOgsIABCABBCxAxCDAToOCC4QgAQQsQMQgwEQ1AI6CwguEIAEEMcBEK8BOgsILhCABBCxAxDUAjoICAAQsQMQgwE6CwguEIAEELEDEIMBOhEILhCDARCvARDHARCxAxCABDoLCC4QgwEQsQMQgARKBAhBGABQsC5Yvzxg6UFoA3AAeACAAcgBiAHiC5IBBTAuOS4xmAEAoAEBsAEPyAEKwAEB&sclient=mobile-gws-wiz-serp,,4,b'}\x00\x00\x00',,,0,125,200
15213,https://www.google.es/search?q=viladecans+outlet&client=safari&hl=es-es&sxsrf=AJOqlzUowFJnFmnK-i16oXfKVn5g8ZLIgA%3A1674335281501&ei=MVTMY_yQHpedkdUP-K2q4Aw&oq=viladecans&gs_lcp=ChNtb2JpbGUtZ3dzLXdpei1zZXJwEAEYADINCAAQgAQQsQMQgwEQCjINCC4QgwEQsQMQgAQQCjINCC4QgAQQxwEQrwEQCjIHCAAQgAQQCjIHCAAQgAQQCjINCC4QgAQQxwEQrwEQCjINCC4QgAQQxwEQrwEQCjINCC4QgAQQxwEQrwEQCjoKCAAQRxDWBBCwAzoHCAAQsAMQQzoNCC4QxwEQ0QMQsAMQQzoHCCMQ6gIQJzoECCMQJzoFCAAQgAQ6EAguELEDEIMBEMcBENEDEEM6CwguEIAEEMcBENEDOhEILhCABBCxAxCDARDHARDRAzoICAAQgAQQsQM6CAguELEDEIMBOgsIABCABBCxAxCDAToOCC4QgAQQsQMQgwEQ1AI6CwguEIAEEMcBEK8BOgsILhCABBCxAxDUAjoICAAQsQMQgwE6CwguEIAEELEDEIMBOhEILhCDARCvARDHARCxAxCABDoLCC4QgwEQsQMQgARKBAhBGABQsC5Yvzxg6UFoA3AAeACAAcgBiAHiC5IBBTAuOS4xmAEAoAEBsAEPyAEKwAEB&sclient=mobile-gws-wiz-serp#wptab=s:H4sIAAAAAAAAAONgVuLVT9c3NEw2NTU3KDYyecRowS3w8sc9YSn9SWtOXmPU5OIKzsgvd80rySypFJLmYoOyBKX4uVB18uxi4vPJT07MCcjPDMjIL8kvXsSqVJaZk5iSmpyYV6xQkpGqUFxSmZOqkF9akpNaUqyQBlIEAMF-ERCCAAAA,,1,b'\x00\x00\x00\x00',,,0,0,200
15214,https://www.google.es/search?q=viladecans+outlet&client=safari&hl=es-es&sxsrf=AJOqlzUowFJnFmnK-i16oXfKVn5g8ZLIgA%3A1674335281501&ei=MVTMY_yQHpedkdUP-K2q4Aw&oq=viladecans&gs_lcp=ChNtb2JpbGUtZ3dzLXdpei1zZXJwEAEYADINCAAQgAQQsQMQgwEQCjINCC4QgwEQsQMQgAQQCjINCC4QgAQQxwEQrwEQCjIHCAAQgAQQCjIHCAAQgAQQCjINCC4QgAQQxwEQrwEQCjINCC4QgAQQxwEQrwEQCjINCC4QgAQQxwEQrwEQCjoKCAAQRxDWBBCwAzoHCAAQsAMQQzoNCC4QxwEQ0QMQsAMQQzoHCCMQ6gIQJzoECCMQJzoFCAAQgAQ6EAguELEDEIMBEMcBENEDEEM6CwguEIAEEMcBENEDOhEILhCABBCxAxCDARDHARDRAzoICAAQgAQQsQM6CAguELEDEIMBOgsIABCABBCxAxCDAToOCC4QgAQQsQMQgwEQ1AI6CwguEIAEEMcBEK8BOgsILhCABBCxAxDUAjoICAAQsQMQgwE6CwguEIAEELEDEIMBOhEILhCDARCvARDHARCxAxCABDoLCC4QgwEQsQMQgARKBAhBGABQsC5Yvzxg6UFoA3AAeACAAcgBiAHiC5IBBTAuOS4xmAEAoAEBsAEPyAEKwAEB&sclient=mobile-gws-wiz-serp#wptab=s:H4sIAAAAAAAAAONgVuLVT9c3NEw2NTU3KDYyecRowS3w8sc9YSn9SWtOXmPU5OIKzsgvd80rySypFJLmYoOyBKX4uVB18uxi4vPJT07MCcjPDMjIL8kvXsSqVJaZk5iSmpyYV6xQkpGqUFxSmZOqkF9akpNaUqyQBlIEAMF-ERCCAAAA&lpg=cid:CgIgAQ%3D%3D,,1,b'\x00\x00\x00\x00',,,0,0,200
15215,https://viladecans.thestyleoutlets.es/es/marcas,,1,b'd\x00\x00\x00',,,0,100,200
15216,https://viladecans.thestyleoutlets.es/es/marcas/triumph-1,,1,b'd\x00\x00\x00',,,0,100,200
15217,https://viladecans.thestyleoutlets.es/es/promociones,,1,b'd\x00\x00\x00',,,0,100,200
15218,https://viladecans.thestyleoutlets.es/es/virtual-shopping,,1,b'd\x00\x00\x00',,,0,100,200
15219,https://viladecans.thestyleoutlets.es/es/news,,1,b'd\x00\x00\x00',,,0,100,200
15220,https://viladecans.thestyleoutlets.es/es/news/extra-descuentos-4,,1,b'd\x00\x00\x00',,,0,100,200
15221,https://viladecans.thestyleoutlets.es/es/informacion-centro,,1,b'd\x00\x00\x00',,,0,100,200
15222,https://viladecans.thestyleoutlets.es/es/commitments,,1,b'd\x00\x00\x00',,,0,100,200
15223,https://viladecans.thestyleoutlets.es/ca,,1,b'd\x00\x00\x00',,,0,100,200
15224,https://viladecans.thestyleoutlets.es/ca/marques/converse,,1,b'd\x00\x00\x00',,,0,100,200
15225,https://www.converse.com/es,converse,3,b'd\x00\x00\x00',,,0,100,200
15226,https://www.converse.com/es/products/todo/iconos/todas-las-chuck-70?lang=es_ES&CSINT=HP_SilhouettesStrip_tout1,converse,3,b'd\x00\x00\x00',,,0,100,200
15227,https://news.zara.com/pub/acc?_ri_=X0Gzc2X%3DAQpglLjHJlTQGyza0zbKWS1zgMudrbvlMvu1ec0TzfzfgOgdTDN8jabcTa3U9m89eHBzf0GSeza4dfhTm5eVXtpKX%3DSDSYDWT&_ei_=ER1BgtbThrDCXD2io-Dz9zt7mqdYvAJjefH5LLdRwu518DRAJzEnVRIn4ExuchYo8ejqGad-6QykMIpDrgzGcogLA3xv135PjLb1stgc6Df6c5wXa4b3P3y-BUXM2zpTkH4HQMnO4l78qR3q2kG5R5T7YRrbY5YVlOFX7ZdxCfaiDsjzRVutj2gUpsZpbVLhKWXZtGi-Zsq0.&_di_=7bn3k7mrrquciht1nfr58c84i7tloqvr82uo814kuc126iuqmb30,news.zara,2,b'\xc8\x00\x00\x00',,,0,200,200
15228,https://www.zara.com/es/es/woman-new-in-l1180.html?v1=1881787&utm_source=newsletter&utm_medium=email&utm_campaign=2023_01_19_Woman_NewCollection_b_norte_newin,zara,1,b'd\x00\x00\x00',,,0,100,200
15229,https://www.zara.com/es/es/mujer-nuevo-l1180.html?v1=1881787&utm_source=newsletter&utm_medium=email&utm_campaign=2023_01_19_Woman_NewCollection_b_norte_newin,zara,1,b'd\x00\x00\x00',,,0,100,200
15230,https://www.yelmocines.es/cartelera/barcelona/premium-sant-cugat,,1,b'd\x00\x00\x00',,,0,100,200
15231,https://www.yelmocines.es/sinopsis/avatar-el-sentido-del-agua,,1,b'd\x00\x00\x00',,,0,100,200
15232,https://www.google.es/search?q=cartelera+yelmo+sant+cugat&ie=UTF-8&oe=UTF-8&hl=es-es&client=safari,,2,b'd\x00\x00\x00',,,0,100,200
15233,https://yelmocines.es/cartelera/barcelona/premium-sant-cugat,,2,b'd\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',b'd\x00\x00\x00',,0,200,200
15234,https://yelmocines.es/cartelera/barcelona/premium-sant-cugat#,,2,b'\x00\x00\x00\x00',,,0,0,200
15235,https://yelmocines.es/sinopsis/avatar-el-sentido-del-agua,,1,b'd\x00\x00\x00',,,0,100,200
15236,https://compra.yelmocines.es/?cinemaVistaId=784&showtimeVistaId=16626,,1,b'd\x00\x00\x00',,,0,100,200
15237,https://compra.yelmocines.es/entradas,,1,b'\x00\x00\x00\x00',,,0,0,200
15238,https://compra.yelmocines.es/butacas,,1,b'\x00\x00\x00\x00',,,0,0,200
15239,https://compra.yelmocines.es/pago,,1,b'\x00\x00\x00\x00',,,0,0,200
15240,https://compra.yelmocines.es/confirmacion,,1,b'\x00\x00\x00\x00',,,0,0,200
15241,https://g.co/kgs/chTz24,,2,b'd\x00\x00\x00d\x00\x00\x00',,,0,200,200
15242,"https://www.google.es/search?client=safari&hl=es-es&sxsrf=AJOqlzUgik9BY1N6NaYqCXZSeAF2DNi9bA:1674335614159&q=Viladecans+The+Style+Outlets&ludocid=14128522229687642000&gsas=1&client=safari&ibp=gwp;0,7&lsig=AB86z5UJiIOoR3KGZGERpdIVbs_6&kgs=d9206ef322ac18c4&shndl=-1&shem=lssle&source=sh/x/kp/local/3",,4,b'd\x00\x00\x00d\x00\x00\x00',,,0,200,200
15243,"https://www.google.es/search?client=safari&hl=es-es&sxsrf=AJOqlzUgik9BY1N6NaYqCXZSeAF2DNi9bA:1674335614159&q=Viladecans+The+Style+Outlets&ludocid=14128522229687642000&gsas=1&client=safari&ibp=gwp;0,7&lsig=AB86z5UJiIOoR3KGZGERpdIVbs_6&kgs=d9206ef322ac18c4&shndl=-1&shem=lssle&source=sh/x/kp/local/3#lpg=cid:CgIgAQ%3D%3D",,2,b'\x00\x00\x00\x00\x00\x00\x00\x00',,,0,0,200
15244,https://www.telecinco.es/la-isla-de-las-tentaciones/,,2,b'd\x00\x00\x00\x00\x00\x00\x00d\x00\x00\x00',,,0,200,200
15245,https://www.google.es/search?q=la+isla+de+las+tentaciones&ie=UTF-8&oe=UTF-8&hl=es-es&client=safari,,3,b'd\x00\x00\x00',,,0,100,200
15246,https://www.google.es/search?q=la+isla+de+las+tentaciones&ie=UTF-8&oe=UTF-8&hl=es-es&client=safari#sbfbu=1&pi=la%20isla%20de%20las%20tentaciones,,1,b'\x00\x00\x00\x00',,,0,0,200
15247,https://www.google.es/search?q=la+isla+de+las+tentaciones+directo&client=safari&hl=es-es&sxsrf=AJOqlzUmsm67L8S1oEd7UihtU3Bl797Frw%3A1674513227363&ei=SwvPY4LnFa6Mxc8PiLyL8A0&oq=la+isla+de+las+tentaciones+directo&gs_lcp=ChNtb2JpbGUtZ3dzLXdpei1zZXJwEAMyCwgAEIAEELEDEIMBMgUIABCABDIFCAAQgAQyCwgAEIAEELEDEIMBMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDoHCCMQsAMQJzoKCAAQRxDWBBCwAzoHCAAQsAMQQzoMCC4QyAMQsAMQQxgBOgQIIxAnOgQILhBDOgsIABCxAxCDARDJAzoICAAQgAQQsQM6BAgAEEM6BAgAEANKBAhBGABQ1BJYoiNg_yZoAXAAeACAAZQBiAHbBpIBAzMuNZgBAKABAcgBD8ABAdoBBAgBGAg&sclient=mobile-gws-wiz-serp,,2,b'd\x00\x00\x00',,,0,100,200
15248,https://www.telecinco.es/la-isla-de-las-tentaciones/directo/,,1,b'd\x00\x00\x00',,,0,100,200
15249,https://www.telecinco.es/la-isla-de-las-tentaciones/directo/20230123/ultima-hora-programa-1-la-isla-de-las-tentaciones-hoy_19_08529300.html,,1,b'd\x00\x00\x00',,,0,100,200
15250,https://www.telecinco.es/la-isla-de-las-tentaciones/directo/20230123/ultima-hora-programa-1-la-isla-de-las-tentaciones-hoy_19_08529300.html#google_vignette,,2,b'd\x00\x00\x00\x00\x00\x00\x00',,,0,100,200
15251,https://www.telecinco.es/la-isla-de-las-tentaciones/20230123/donde-ver-programa-directo-online_18_08519213.html#utm_source=sumario&utm_medium=minuto,,1,b'd\x00\x00\x00',,,0,100,200
15252,https://www.telecinco.es/la-isla-de-las-tentaciones/directo/20230123/ultima-hora-programa-1-la-isla-de-las-tentaciones-hoy_19_08529300.html#utm_source=alerta,,1,b'd\x00\x00\x00',,,0,100,200
15253,https://www.telecinco.es/la-isla-de-las-tentaciones/112496/,,1,b'd\x00\x00\x00',,,0,100,200
15254,https://www.telecinco.es/la-isla-de-las-tentaciones/20230124/mejores-momentos-videos-estrenos-isla-de-las-tentaciones_5_08529802.html,,1,b'd\x00\x00\x00',,,0,100,200
15255,https://www.telecinco.es/la-isla-de-las-tentaciones/a-la-carta/20230124/ver-tentaciones-programa-completo-telecinco_18_08529724.html?amp=true,,2,b'd\x00\x00\x00',,,0,100,200
15256,https://www.tot-hospitalet.cat/en-portada/catalunya-afronta-una-semana-de-crudo-invierno-nevara-en-lhospitalet-cornella-esplugues-y-el-baix-llobregat/,,1,b'd\x00\x00\x00',,,0,100,200
15257,https://www.google.es/search?q=dani+al+es+a%C3%B1os&ie=UTF-8&oe=UTF-8&hl=es-es&client=safari,,3,b'd\x00\x00\x00',,,0,100,200
15258,https://www.google.es/search?q=dani+al+es+a%C3%B1os&ie=UTF-8&oe=UTF-8&hl=es-es&client=safari#sbfbu=1&pi=dani%20al%20es%20a%C3%B1os,,1,b'\x00\x00\x00\x00',,,0,0,200
15259,https://www.google.es/search?q=dani+alves&client=safari&hl=es-es&sxsrf=AJOqlzVoxXi8xby2BoPkdUtz7-2rlzU9Zg%3A1674569596953&ei=fOfPY6rhOa6H9u8PzLWM4AY&gs_ssp=eJzj4tTP1TewzEg2SDZg9OJKSczLVEjMKUstBgBNLwcC&oq=dani+al&gs_lcp=ChNtb2JpbGUtZ3dzLXdpei1zZXJwEAEYATIJCCMQJxBGEPsBMgsILhCABBCxAxCDATILCAAQgAQQsQMQgwEyCwgAEIAEELEDEIMBMgsIABCABBCxAxCDATIICAAQsQMQgwEyCwgAEIAEELEDEIMBMggIABCxAxCDAToKCAAQRxDWBBCwAzoPCAAQgAQQChDLARBGEPsBOgYIABAWEB46BQghEKABOggIIRAWEB4QHToHCCMQsQIQJzoNCAAQgAQQsQMQgwEQCjoGCAAQChADOg0ILhCDARCxAxCABBAKOg0ILhCABBCxAxCDARAKOgUILhCABDoFCAAQgARKBAhBGABQ5ApY_hVgnSNoAXAAeACAAekBiAHiCZIBBTEuNC4zmAEAoAEByAEIwAEB&sclient=mobile-gws-wiz-serp,,2,b'd\x00\x00\x00',,,0,100,200
15260,https://www.google.es/search?q=cap+torre+tomeo&ie=UTF-8&oe=UTF-8&hl=es-es&client=safari,,2,b'd\x00\x00\x00',,,0,100,200
