id,application_identifier,key,value
112,65,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x10#file:///Applications/Spotlight.app/\x10\x05\x08\x0f\x14(-Tz\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00|'
113,66,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x10!file:///Applications/Sidecar.app/\x10\x05\x08\x0f\x14(-Tx\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00z'
114,67,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x10ffile:///private/var/containers/Bundle/Application/840E0483-A86A-4B13-A8B2-69B2ABB3D78E/Calculator.app/\x10\x05\x08\x0f\x14(-T\xbd\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xbf'
115,68,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x10 file:///Applications/Family.app/\x10\x05\x08\x0f\x14(-Tw\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00y'
116,69,3,"b""bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x10'file:///Applications/InCallService.app/\x10\x05\x08\x0f\x14(-T~\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x80"""
117,70,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x10&file:///Applications/CheckerBoard.app/\x10\x05\x08\x0f\x14(-T}\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x7f'
118,71,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x10)file:///Applications/AXUIViewService.app/\x10\x05\x08\x0f\x14(-T\x80\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x82'
119,72,3,"b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x10""file:///Applications/PreBoard.app/\x10\x05\x08\x0f\x14(-Ty\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00{'"
120,73,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x105file:///Applications/AccountAuthenticationDialog.app/\x10\x05\x08\x0f\x14(-T\x8c\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x8e'
121,74,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x103file:///Applications/ScreenshotServicesService.app/\x10\x05\x08\x0f\x14(-T\x8a\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x8c'
122,75,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x10.file:///Applications/HealthPrivacyService.app/\x10\x05\x08\x0f\x14(-T\x85\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x87'
123,76,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x108file:///Applications/SharedWebCredentialViewService.app/\x10\x05\x08\x0f\x14(-T\x8f\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x91'
124,77,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x10(file:///Applications/DataActivation.app/\x10\x05\x08\x0f\x14(-T\x7f\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x81'
125,78,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x10)file:///Applications/AskPermissionUI.app/\x10\x05\x08\x0f\x14(-T\x80\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x82'
126,79,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x10-file:///Applications/TVAccessViewService.app/\x10\x05\x08\x0f\x14(-T\x84\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x86'
127,80,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$E524A076-5E20-401C-864F-7F85E726B419_\x10cfile:///private/var/containers/Bundle/Application/BD97BB93-889A-4B52-A6FD-DCB4C77FE4F9/Weather.app/\x10\x05\x08\x0f\x14(-T\xba\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xbc'
128,81,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x10+file:///Applications/StoreKitUIService.app/\x10\x05\x08\x0f\x14(-T\x82\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x84'
129,82,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x10+file:///Applications/CTNotifyUIService.app/\x10\x05\x08\x0f\x14(-T\x82\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x84'
130,83,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x10;file:///Applications/VideoSubscriberAccountViewService.app/\x10\x05\x08\x0f\x14(-T\x92\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x94'
131,84,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x10(file:///Applications/Print%20Center.app/\x10\x05\x08\x0f\x14(-T\x7f\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x81'
132,85,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x10#file:///Applications/FieldTest.app/\x10\x05\x08\x0f\x14(-Tz\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00|'
133,86,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x10$file:///Applications/CoreAuthUI.app/\x10\x05\x08\x0f\x14(-T{\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00}'
134,87,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x10+file:///Applications/PassbookUIService.app/\x10\x05\x08\x0f\x14(-T\x82\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x84'
135,88,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x10+file:///Applications/SIMSetupUIService.app/\x10\x05\x08\x0f\x14(-T\x82\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x84'
136,89,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$E524A076-5E20-401C-864F-7F85E726B419_\x10\x1ffile:///Applications/Setup.app/\x10\x05\x08\x0f\x14(-Tv\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00x'
137,90,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x10 file:///Applications/iCloud.app/\x10\x05\x08\x0f\x14(-Tw\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00y'
138,91,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x10-file:///Applications/MessagesViewService.app/\x10\x05\x08\x0f\x14(-T\x84\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x86'
139,92,3,"b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x10,file:///Applications/DiagnosticsService.app/\x10\x05\x08\x0f\x14(-T\x83\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x85'"
140,93,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x101file:///Applications/iMessageAppsViewService.app/\x10\x05\x08\x0f\x14(-T\x88\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x8a'
141,94,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x10*file:///Applications/AuthKitUIService.app/\x10\x05\x08\x0f\x14(-T\x81\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x83'
142,95,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x10(file:///Applications/MusicUIService.app/\x10\x05\x08\x0f\x14(-T\x7f\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x81'
143,96,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x10!file:///Applications/DemoApp.app/\x10\x05\x08\x0f\x14(-Tx\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00z'
144,97,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x10-file:///Applications/GameCenterUIService.app/\x10\x05\x08\x0f\x14(-T\x84\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x86'
145,8,4,b'bplist00\xd1\x01\x02_\x10 sceneID:com.apple.camera-default\xd7\x03\x04\x05\x06\x07\x08\t\n\x0b\x0c\r\r\x0e\r_\x10\x10sceneSessionRole_\x10\x15persistenceIdentifier[canvasTitle_\x10)initialDeviceOrientationFromAlterEgoSetup_\x10/supportedInterfaceOrientationsFromAlterEgoSetup_\x10\x11settingUpAlterEgo_\x10$interfaceOrientationFromUserResizing_\x10#UIWindowSceneSessionRoleApplication_\x10$6783B5F9-716F-44F3-A78B-834D2CEEF155P\x10\x00\x08\x00\x08\x00\x0b\x00.\x00=\x00P\x00h\x00t\x00\xa0\x00\xd2\x00\xe6\x01\r\x013\x01Z\x01[\x01]\x00\x00\x00\x00\x00\x00\x02\x01\x00\x00\x00\x00\x00\x00\x00\x0f\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01^'
